consent,school year,GPA,gender,race,citizen,English,Greek,major_class,double_major,num_class,num_credithrs,hrs_academics,hrs_extracurr,grad_degree,exam_prep,exam_sleep,alcohol,ill_drugs,pres_drugs,demanding,pressure,anxiety,scholarship_recipient,conduct,traum_event,knowledge_A,knowledge_B,knowledge_C,knowledge_D,knowledge_E,knowledge_F,knowledge_G,Exams_A,Exams_B,Exams_C,Exams_D,Exams_E,Exams_F,Exams_G,Exams_H,Exams_I,Writing_A,Writing_B,Writing_C,Writing_D,Writing_E,Writing_F,Writing_G,Collaboration_A,Collaboration_B,Collaboration_C,Collaboration_D,Other_A,Other_B,Other_C,Other_D,Other_E,Other_F,Other_G,Other_H,Other_I,Other_J,Other_K,Other_L,Other_M,Other_N,Other_O,why_A,why_B,why_C,why_D,why_E,why_F,why_G,why_H,why_I,why_J,why_K,why_never_A,why_never_B,why_never_C,why_never_D,why_never_E,why_never_F,aware_A,aware_B,aware_C,aware_D,aware_E,aware_F,aware_G,aware_H,aware_I,aware_J,aware_K,aware_L,aware_M,aware_N,aware_O,understanding,witness_A,witness_B,witness_C,witness_D,witness_E,witness_F,witness_G,witness_H,anticipate_exam,anticipate_writing,anticipate_collaboration,anticipate_other,hs,hs_exam,hs_writing,hs_collaboration,hs_other,hs_action,age_misconduct,aware_sanction,HC_comm
yes,Sophomore,3.6,Female,White/Caucasian,Yes,Yes,No,Social Sciences,Yes,4,13,10,10,other,>1week,5,5,No,Never,6,8,8,no,No,Yes,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,2-4 times,>4 times,0 times,0 times,0 times,1 time,1 time,1 time,1 time,0 times,0 times,1 time,>4 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,"Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,Private,2-4 times,2-4 times,2-4 times,2-4 times,Yes,12,Yes,Somewhat
yes,Sophomore,3.5,Male,Asian,Yes,No,No,Natural Sciences,Yes,6,16,12,5,pre-med,>1week,5,0,No,Never,8,8,7,yes,Yes,No,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,1 time,1 time,0 times,0 times,1 time,1 time,1 time,1 time,2-4 times,0 times,2-4 times,2-4 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,No,No,No,"Yes, silent",No,No,No,No,No,No,No,No,Public,2-4 times,2-4 times,2-4 times,0 times,Somewhat,99,Yes,Yes
yes,Freshman,3.5,Female,Asian,No,No,No,Social Sciences,No,5,15,10,8,other,>1week,7,2,No,Rarely,7,8,8,no,No,Yes,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,0 times,1 time,0 times,0 times,0 times,1 time,0 times,0 times,0 times,1 time,2-4 times,2-4 times,1 time,0 times,0 times,1 time,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,"Yes, silent",No,No,No,"Yes, silent","Yes, silent",No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,No,18,Yes,Somewhat
yes,Freshman,3.86,Female,Asian,Yes,Yes,No,Natural Sciences,No,4,15,30,10,pre-med,>1week,6,0,No,Never,8,9,9,no,No,Yes,unchecked,checked,checked,checked,checked,checked,unchecked,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,1 time,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,"Yes, silent","Yes, silent",No,No,No,"Yes, silent",No,No,No,No,No,No,Public,2-4 times,0 times,1 time,0 times,Somewhat,15,Yes,Yes
yes,Sophomore,3.82,Female,White/Caucasian,Yes,Yes,No,Humanities,Yes,5,17,20,5,none,2-3day,4,25,"Yes, regularly",Never,5,6,5,no,No,Yes,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,2-4 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,1 time,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8,"Yes, silent","Yes, silent",No,"Yes, silent",No,"Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,1 time,No,15,No,Somewhat
yes,Sophomore,3.69,Female,White/Caucasian,Yes,Yes,No,Social Sciences,Yes,6,17,48,6,pre-law,2-3day,7,0,No,Never,3,10,8,yes,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,unchecked,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,Maybe,Maybe,No,Public,0 times,0 times,0 times,0 times,I don't know,99,Yes,Yes
yes,Senior,3.25,Female,White/Caucasian,Yes,Yes,Yes,Natural Sciences,No,5,13,15,6,pre-med,2-3day,6,3,"Yes, occasionally",All the time,5,8,8,no,Yes,Yes,checked,unchecked,unchecked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,1 time,0 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,5,No,No,"Yes, silent",No,No,"Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,0 times,No,19,Yes,No
yes,Sophomore,3.83,Female,Black/African American,Yes,Yes,No,Natural Sciences,No,4,17,10,6,pre-med,>1week,5,0,No,Never,6,5,5,yes,No,No,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,"Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,"Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Sophomore,3.01,Female,Black/African American,Yes,Yes,No,Social Sciences,No,4,15,20,5,pre-med,2-3day,7,4,"Yes, regularly",Never,9,9,9,yes,No,Yes,unchecked,checked,checked,unchecked,unchecked,unchecked,unchecked,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,2-4 times,0 times,0 times,0 times,2-4 times,2-4 times,2-4 times,0 times,1 time,1 time,0 times,2-4 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,8,"Yes, silent",No,No,"Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,2-4 times,2-4 times,Yes,12,Yes,Somewhat
yes,Freshman,3.438,Female,Black/African American,Yes,Yes,No,Humanities,Yes,6,16,15,2,other,2-3day,9,0,No,Never,9,9,6,yes,No,No,checked,checked,unchecked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,I don't know,99,Yes,Somewhat
yes,Freshman,3.61,Male,White/Caucasian,Yes,Yes,No,Social Sciences,No,5,18,20,10,other,2-3day,6,15,No,Never,5,3,2,no,Yes,No,checked,checked,unchecked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Public,2-4 times,0 times,>4 times,0 times,Somewhat,8,Yes,Somewhat
yes,Freshman,2.5,Female,Black/African American,Yes,No,No,Social Sciences,No,4,14,6,8,pre-med,2-3day,6,0,"Yes, occasionally",Never,8,10,7,yes,No,Yes,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Somewhat,99,Yes,Yes
yes,Freshman,3.5,Female,White/Caucasian,Yes,Yes,No,Social Sciences,Yes,5,16,14,6,other,2-3day,6,8,No,Never,8,9,5,no,No,No,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,"Yes, silent",No,No,No,No,No,No,No,No,No,No,No,Private,1 time,0 times,>4 times,>4 times,Yes,17,No,Yes
yes,Freshman,3.3,Female,Other,Yes,Yes,Yes,Social Sciences,Yes,5,17,12,4,pre-law,>1week,10,2,No,Never,9,10,8,yes,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,checked,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5,"Yes, silent",No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,>4 times,0 times,Somewhat,12,Yes,Yes
yes,Freshman,2.4,Female,White/Caucasian,Yes,Yes,No,Natural Sciences,No,5,17,10,15,pre-med,>1week,8,2,No,Never,6,7,6,no,No,No,unchecked,checked,checked,unchecked,unchecked,unchecked,unchecked,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,2-4 times,>4 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,"Yes, silent",No,No,No,No,No,No,No,No,No,No,No,Public,>4 times,0 times,>4 times,0 times,Somewhat,16,Yes,Yes
yes,Freshman,3.1,Male,White/Caucasian,Yes,Yes,No,Social Sciences,Yes,5,17,10,4,other,2-3day,8,6,No,Never,7,7,8,no,Yes,No,checked,checked,checked,unchecked,unchecked,checked,unchecked,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Junior,3.3,Female,Black/African American,Yes,Yes,Yes,Social Sciences,Yes,5,16,12,12,other,2-3day,7,4,"Yes, regularly",Rarely,7,10,7,no,No,Yes,checked,checked,checked,unchecked,checked,checked,unchecked,2-4 times,1 time,1 time,0 times,2-4 times,2-4 times,>4 times,>4 times,2-4 times,0 times,1 time,2-4 times,>4 times,2-4 times,1 time,0 times,0 times,1 time,2-4 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,"Yes, report","Yes, report","Yes, report","Yes, report","Yes, report","Yes, report","Yes, report","Yes, report",Yes,Yes,Yes,Yes,Private,0 times,0 times,0 times,0 times,No,99,No,Somewhat
yes,Freshman,3,Female,Black/African American,Yes,Yes,No,Natural Sciences,Yes,4,15,50,2,pre-med,>1week,7,0,No,Never,8,10,10,no,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,No,No,No,No,No,No,No,No,No,No,No,No,Private,2-4 times,2-4 times,2-4 times,2-4 times,Somewhat,0,Yes,Yes
yes,Junior,4,Male,Asian,Yes,Yes,No,Natural Sciences,No,4,14,15,15,pre-med,>1week,7,1,No,Never,5,8,8,no,No,Yes,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Sophomore,3.93,Male,White/Caucasian,Yes,Yes,No,Natural Sciences,No,4,16,25,21,other,>1week,9,0,No,Never,1,1,1,no,No,No,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,No,99,Yes,Yes
yes,Sophomore,3.5,Male,White/Caucasian,Yes,Yes,Yes,Social Sciences,No,3,15,10,6,other,2-3day,8,8,"Yes, regularly",Never,6,8,6,no,No,Yes,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,1 time,2-4 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,2-4 times,2-4 times,Yes,5,Yes,Somewhat
yes,Junior,4,Male,Asian,No,No,No,Social Sciences,No,5,18,20,15,none,2-3day,5,3,No,Never,7,4,5,yes,Yes,No,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,>4 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,No,No,No,No,No,No,No,No,Maybe,Maybe,No,Maybe,Private,0 times,0 times,0 times,0 times,I don't know,99,No,No
yes,Freshman,2.6,Male,Asian,Yes,Yes,No,Social Sciences,No,4,13,10,4,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,Sophomore,2.46,Female,Other,Yes,Yes,No,Social Sciences,Yes,5,16,10,3,pre-med,2-3day,6,0,No,Never,9,10,10,yes,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,2-4 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,"Yes, silent","Yes, silent",No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,15,Yes,Yes
yes,Freshman,3.55,Female,Asian,No,No,No,Social Sciences,Yes,5,15,24,5,other,>1week,5,1,No,Never,6,5,5,no,No,Yes,checked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Sophomore,4,Female,Asian,No,No,No,Humanities,No,4,19,10,4,pre-law,>1week,9,0,No,Regularly,5,7,5,no,No,No,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,0 times,1 time,2-4 times,>4 times,2-4 times,1 time,0 times,1 time,2-4 times,0 times,1 time,2-4 times,>4 times,2-4 times,1 time,0 times,0 times,1 time,2-4 times,>4 times,0 times,1 time,2-4 times,>4 times,2-4 times,1 time,0 times,1 time,2-4 times,>4 times,2-4 times,1 time,0 times,1 time,2-4 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Sophomore,2.9,Female,White/Caucasian,Yes,Yes,Yes,Natural Sciences,No,5,15,16,10,other,2-3day,3,25,No,Never,5,10,9,no,No,Yes,checked,checked,unchecked,unchecked,checked,unchecked,unchecked,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,>4 times,2-4 times,1 time,0 times,0 times,0 times,1 time,2-4 times,2-4 times,0 times,0 times,0 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,8,"Yes, silent",No,"Yes, silent",No,No,"Yes, silent","Yes, silent",No,Maybe,No,Yes,No,Private,1 time,0 times,>4 times,0 times,Somewhat,18,No,No
yes,Freshman,3.8,Female,Asian,No,No,No,Social Sciences,Yes,5,18,15,15,other,2-3day,8,0,No,Never,10,10,5,yes,No,Yes,checked,checked,checked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,No,No,No,No,"Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Somewhat,99,Yes,Yes
yes,Freshman,3.8,Female,White/Caucasian,No,No,No,Humanities,Yes,5,15,17,7,other,2-3day,6,2,No,Never,9,7,9,yes,No,Yes,checked,checked,checked,unchecked,checked,checked,unchecked,1 time,2-4 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,0,Yes,Yes
